"jmdict_seq","kanji","kana","waller_definition","origin","original"
1299685,"お皿","おさら","plate, dish","waller",
1002320,,"おじいさん","grandfather, male senior citizen","waller",
1002320,,"おじいさん","grandfather, male senior citizen","jmdict","おじいさん"
1236900,"教える","おしえる","to teach, to tell","waller",
2261490,,"おじさん","uncle, middle aged gentleman","waller",
2261490,,"おじさん","uncle, middle aged gentleman","jmdict","おじさん"
2261490,,"オジサン","uncle, middle aged gentleman","jmdict","おじさん"
2261490,,"オジさん","uncle, middle aged gentleman","jmdict","おじさん"
1180470,"押す","おす","to push, to stamp something","waller",
1180470,,"おす","to push, to stamp something","jmdict","押す"
1421970,"遅い","おそい","late, slow","waller",
1421970,,"おそい","late, slow","jmdict","遅い"
1002430,"お茶","おちゃ","green tea","waller",
1002430,,"おちゃ","green tea","jmdict","お茶"
1002100,"お手洗い","おてあらい","bathroom","waller",
1002100,,"おてあらい","bathroom","jmdict","お手洗い"
1002590,"お父さん","おとうさん","(honorable) father","waller",
1002590,"お父さん","おとっさん","(honorable) father","jmdict","おとうさん"
1002590,,"おとうさん","(honorable) father","jmdict","お父さん"
1002590,,"おとっさん","(honorable) father","jmdict","お父さん"
1581930,"弟","おとうと","younger brother","waller",
1581930,"弟","てい","younger brother","jmdict","おとうと"
1419990,"男","おとこ","Man","waller",
1419990,"男","おっこ","Man","jmdict","おとこ"
1420010,"男の子","おとこのこ","Boy","waller",
1576050,"一昨日","おととい","day before yesterday","waller",
1576050,"一昨日","おとつい","day before yesterday","jmdict","おととい"
1576050,"一昨日","いっさくじつ","day before yesterday","jmdict","おととい"
1576060,"一昨年","おととし","year before last","waller",
1576060,"一昨年","いっさくねん","year before last","jmdict","おととし"
1576060,"おと年","おととし","year before last","jmdict","一昨年"
1414170,"大人","おとな","Adult","waller",
1002610,,"おなか","stomach","waller",
1002610,,"おなか","stomach","jmdict","おなか"
1451750,"同じ","おなじ","same","waller",
1451750,"同じ","おんなじ","same","jmdict","おなじ"
1001830,"お兄さん","おにいさん","(honorable) older brother","waller",
1001830,,"おにいさん","(honorable) older brother","jmdict","お兄さん"
1001990,"お姉さん","おねえさん","(honorable) older sister","waller",
1001990,,"おねえさん","(honorable) older sister","jmdict","お姉さん"
1002330,,"おばあさん","grandmother, female senior-citizen","waller",
1002330,,"おばあさん","grandmother, female senior-citizen","jmdict","おばあさん"
1002330,,"おばーさん","grandmother, female senior-citizen","jmdict","おばあさん"
2261500,"伯母さん","おばさん","Aunt","waller",
2261500,,"おばさん","Aunt","jmdict","伯母さん"
2220600,"お風呂","おふろ","Bath","waller",
2220600,,"おふろ","Bath","jmdict","お風呂"
1513065,"お弁当","おべんとう","boxed lunch","waller",
1513065,,"おべんとう","boxed lunch","jmdict","お弁当"
1206050,"覚える","おぼえる","to remember","waller",
1206050,,"おぼえる","to remember","jmdict","覚える"
1002120,,"おまわりさん","friendly term for policeman","waller",
1002120,,"おまわりさん","friendly term for policeman","jmdict","おまわりさん"
1335750,"重い","おもい","Heavy","waller",
1533580,,"おもしろい","Interesting","waller",
1533580,,"おもしろい","Interesting","jmdict","おもしろい"
1174340,"泳ぐ","およぐ","to swim","waller",
1174340,,"およぐ","to swim","jmdict","泳ぐ"
1589500,"降りる","おりる","to get off, to descend","waller",
1589500,,"おりる","to get off, to descend","jmdict","降りる"
1589600,"終る","おわる","to finish","waller",
1589600,"終わる","おわる","to finish","jmdict","終る"
1589600,,"おわる","to finish","jmdict","終る"
1183720,"音楽","おんがく","Music","waller",
1344930,"女","おんな","Woman","waller",
1344970,"女の子","おんなのこ","Girl","waller",
1203620,"外国","がいこく","foreign country","waller",
1203620,"外国","そとぐに","foreign country","jmdict","がいこく"
1203650,"外国人","がいこくじん","Foreigner","waller",
1198550,"会社","かいしゃ","Company","waller",
1203090,"階段","かいだん","Stairs","waller",
1589730,"買い物","かいもの","Shopping","waller",
1589730,"買い物","かいもん","Shopping","jmdict","かいもの"
1589730,"買物","かいもの","Shopping","jmdict","買い物"
1589730,"買物","かいもん","Shopping","jmdict","買い物"
1589730,"買いもの","かいもの","Shopping","jmdict","買い物"
1589730,"買いもの","かいもん","Shopping","jmdict","買い物"
1589730,"買いもん","かいもん","Shopping","jmdict","買い物"
1473740,"買う","かう","to buy","waller",
1512130,"返す","かえす","to return something","waller",
1512130,,"かえす","to return something","jmdict","返す"
1221270,"帰る","かえる","to go back","waller",
1221270,,"かえる","to go back","jmdict","帰る"
1207590,"掛かる","かかる","to take time or money","waller",
1207590,,"かかる","to take time or money","jmdict","掛かる"
1207590,"掛る","かかる","to take time or money","jmdict","掛かる"
1260490,"鍵","かぎ","Key","waller",
1260490,,"かぎ","Key","jmdict","鍵"
1260490,,"カギ","Key","jmdict","鍵"
1343950,"書く","かく","to write","waller",
1206900,"学生","がくせい","Student","waller",
1207610,"掛ける","かける","to call by phone","waller",
1207610,,"かける","to call by phone","jmdict","掛ける"
1301940,"傘","かさ","Umbrella","waller",
1411160,"貸す","かす","to lend","waller",
1411160,,"かす","to lend","jmdict","貸す"
1499720,"風","かぜ","Wind","waller",
1583720,"風邪","かぜ","a cold","waller",
1583720,"風邪","ふうじゃ","a cold","jmdict","かぜ"
1192150,"家族","かぞく","Family","waller",
1516925,"方","かた","person, way of doing","waller",
1206730,"学校","がっこう","School","waller",
1206730,,"がっこう","School","jmdict","学校"
1037670,,"カップ","Cup","waller",
1192280,"家庭","かてい","Household","waller",
1206110,"角","かど","a corner","waller",
1208910,"鞄","かばん","bag, basket","waller",
1208910,,"かばん","bag, basket","jmdict","鞄"
1208910,,"カバン","bag, basket","jmdict","鞄"
1194870,"花瓶","かびん","a vase","waller",
1194870,"花瓶","はながめ","a vase","jmdict","かびん"
1194870,"花瓶","かへい","a vase","jmdict","かびん"
1194870,"花びん","かびん","a vase","jmdict","花瓶"
1311530,"紙","かみ","paper","waller",
1038350,,"カメラ","camera","waller",
1038350,,"キャメラ","camera","jmdict","カメラ"
1194290,"火曜日","かようび","Tuesday","waller",
1365850,"辛い","からい","Spicy","waller",
1409140,"体","からだ","Body","waller",
1409140,,"からだ","Body","jmdict","体"
1323560,"借りる","かりる","to borrow","waller",
1252560,"軽い","かるい","Light","waller",
1252560,"軽い","かろい","Light","jmdict","かるい"
1039140,,"カレー","Curry","waller",
1039140,,"カレー","Curry","jmdict","カレー"
1039140,,"カリー","Curry","jmdict","カレー"
1039220,,"カレンダー","calendar","waller",
1039220,,"カレンダ","calendar","jmdict","カレンダー"
1390020,"川","かわ","River","waller",
1390020,"川","がわ","River","jmdict","かわ"
1390020,,"がわ","River","jmdict","かわ"
1390020,"河","かわ","River","waller",
1577200,,"かわいい","Cute","waller",
1577200,,"かわいい","Cute","jmdict","かわいい"
1577200,,"かわゆい","Cute","jmdict","かわいい"
1577200,,"カワイイ","Cute","jmdict","かわいい"
1577200,,"カワイい","Cute","jmdict","かわいい"
1213170,"漢字","かんじ","Chinese character","waller",
1534520,"木","き","tree, wood","waller",
1534520,,"き","tree, wood","jmdict","木"
1576760,"黄色","きいろ","yellow","waller",
1576760,"黄色","こうしょく","yellow","jmdict","きいろ"
1576760,"黄色","おうしょく","yellow","jmdict","きいろ"
1182030,"黄色い","きいろい","yellow","waller",
1182030,"黄いろい","きいろい","yellow","jmdict","黄色い"
1350040,"消える","きえる","to disappear","waller",
1591110,"聞く","きく","to hear, to listen to, to ask","waller",
1591110,,"きく","to hear, to listen to, to ask","jmdict","聞く"
1520670,"北","きた","North","waller",
1042820,,"ギター","Guitar","waller",
1178940,"汚い","きたない","Dirty","waller",
1178940,,"きたない","Dirty","jmdict","汚い"
1178940,"汚ない","きたない","Dirty","jmdict","汚い"
1226440,"喫茶店","きっさてん","coffee lounge","waller",
1226440,"喫茶店","きっちゃてん","coffee lounge","jmdict","きっさてん"
1385070,"切手","きって","postage stamp","waller",
1385170,"切符","きっぷ","Ticket","waller",
1579260,"昨日","きのう","Yesterday","waller",
1579260,"昨日","さくじつ","Yesterday","jmdict","きのう"
1578150,"九","きゅう","Nine","waller",
1578150,"九","ここの","Nine","jmdict","く・きゅう"
1578150,"九","この","Nine","jmdict","く・きゅう"
1578150,"九","ここ","Nine","jmdict","く・きゅう"
1578150,"９","きゅう","Nine","jmdict","九"
1578150,"９","く","Nine","jmdict","九"
1578150,"９","ここの","Nine","jmdict","九"
1578150,"９","この","Nine","jmdict","九"
1578150,"９","ここ","Nine","jmdict","九"
1578150,,"きゅう","Nine","jmdict","九"
1578150,,"く","Nine","jmdict","九"
1578150,,"ここの","Nine","jmdict","九"
1578150,,"この","Nine","jmdict","九"
1578150,,"ここ","Nine","jmdict","九"
1578150,"九","く","Nine","waller",
1231580,"牛肉","ぎゅうにく","Beef","waller",
1231590,"牛乳","ぎゅうにゅう","Milk","waller",
1579110,"今日","きょう","Today","waller",
1579110,"今日","こんにち","Today","jmdict","きょう"
1579110,"今日","こんち","Today","jmdict","きょう"
1579110,"今日","こんじつ","Today","jmdict","きょう"
1237150,"教室","きょうしつ","Classroom","waller",
1249960,"兄弟","きょうだい","(humble) siblings","waller",
1249960,"兄弟","けいてい","(humble) siblings","jmdict","きょうだい"
1231690,"去年","きょねん","last year","waller",
1231690,"去年","こぞ","last year","jmdict","きょねん"
1257240,"嫌い","きらい","Hate","waller",
1257240,,"きらい","Hate","jmdict","嫌い"
1384830,"切る","きる","to cut","waller",
1423000,"着る","きる","to put on from the shoulders down","waller",
1423000,,"きる","to put on from the shoulders down","jmdict","着る"
1591900,,"きれい","pretty, clean","waller",
1591900,,"きれい","pretty, clean","jmdict","きれい"
1591900,,"キレイ","pretty, clean","jmdict","きれい"
1042610,,"キロ","Kilogram","waller",
1042620,,"キログラム","Kilogram","waller",
1042620,,"キログラム","Kilogram","jmdict","キログラム"
1042650,,"キロメートル","Kilometer","waller",
1042650,,"キロメートル","Kilometer","jmdict","キロメートル"
1042650,,"キロメイトル","Kilometer","jmdict","キロメートル"
1243490,"銀行","ぎんこう","Bank","waller",
1243320,"金曜日","きんようび","Friday","waller",
1538160,"薬","くすり","medicine","waller",
1184270,,"ください","Please","waller",
1184270,,"ください","Please","jmdict","ください"
1193060,"果物","くだもの","Fruit","waller",
1193060,"果物","かぶつ","Fruit","jmdict","くだもの"
1193060,,"くだもの","Fruit","jmdict","果物"
