"jmdict_seq","kanji","kana","waller_definition","origin","original"
1346150,"勝つ","かつ","to win","waller",
1346150,,"かつ","to win","jmdict","勝つ"
1590480,"格好","かっこう","appearance","waller",
1590480,"格好","かっこ","appearance","jmdict","かっこう"
1590480,,"かっこう","appearance","jmdict","格好"
1590480,,"かっこ","appearance","jmdict","格好"
1590480,,"カッコ","appearance","jmdict","格好"
1192420,"家内","かない","housewife","waller",
1192420,"家内","やうち","housewife","jmdict","かない"
1483190,"悲しい","かなしい","sad","waller",
1483190,,"かなしい","sad","jmdict","悲しい"
1483190,"愛しい","かなしい","sad","jmdict","悲しい"
1487400,"必ず","かならず","certainly,necessarily","waller",
2429350,"お金持ち","おかねもち","rich man","waller",
1242970,"金持ち","かねもち","rich man","waller",
1242970,"金持","かねもち","rich man","jmdict","金持ち"
1242970,"銀持","かねもち","rich man","jmdict","金持ち"
1483150,"彼女","かのじょ","she,girlfriend","waller",
1509290,,"かべ","wall","waller",
1509290,,"へき","wall","jmdict","かべ"
1279680,,"かまう","to mind","waller",
1279680,"構う","かまう","to mind","jmdict","かまう"
1477950,"髪","かみ","hair","waller",
1477950,,"かみ","hair","jmdict","髪"
1209240,,"かむ","to bite,to chew","waller",
1209240,,"かむ","to bite,to chew","jmdict","噛む"
1432850,"通う","かよう","to commute","waller",
1040380,,"ガラス","a glass pane","waller",
1040380,,"ガラス","a glass pane","jmdict","ガラス"
1483070,"彼","かれ","he,boyfriend","waller",
1483090,"彼ら","かれら","they","waller",
1483090,"彼等","かれら","they","jmdict","彼ら"
1209650,,"かわく","to get dry","waller",
1590770,"代わり","かわり","substitute,alternate","waller",
1590770,,"かわり","substitute,alternate","jmdict","代わり"
1590770,"代り","かわり","substitute,alternate","jmdict","代わり"
1510790,"変わる","かわる","to change","waller",
1510790,"変る","かわる","to change","jmdict","変わる"
1281020,"考える","かんがえる","to consider","waller",
1281020,,"かんがえる","to consider","jmdict","考える"
1215810,"関係","かんけい","relationship","waller",
1213870,,"かんごふ","female nurse","waller",
1214330,,"かんたん","simple","waller",
1214330,,"かんたん","simple","jmdict","簡単"
1221520,"気","き","spirit,mood","waller",
1221520,,"き","spirit,mood","jmdict","気"
1220800,"機会","きかい","opportunity","waller",
1218560,"危険","きけん","danger","waller",
1591150,"聞こえる","きこえる","to be heard","waller",
1591150,"聞える","きこえる","to be heard","jmdict","聞こえる"
1591150,,"きこえる","to be heard","jmdict","聞こえる"
1222700,,"きしゃ","steam train","waller",
1225130,,"ぎじゅつ","art,technology,skill","waller",
1222840,,"きせつ","season","waller",
1223021,,"きそく","regulations","waller",
1003430,,"きっと","surely","waller",
1003430,,"きっと","surely","jmdict","きっと"
1003430,"急度","きっと","surely","jmdict","きっと"
1003430,,"キッと","surely","jmdict","きっと"
1258710,,"きぬ","silk","waller",
1262530,,"きびしい","strict","waller",
1262530,,"きびしい","strict","jmdict","厳しい"
1222590,"気分","きぶん","mood","waller",
1591420,"決る","きまる","to be decided","waller",
1591420,"決まる","きまる","to be decided","jmdict","決る"
1591420,,"きまる","to be decided","jmdict","決る"
1591420,,"キマる","to be decided","jmdict","決る"
1247250,"君","きみ","(informal) You (used by men towards women)","waller",
1247250,"公","きみ","(informal) You (used by men towards women)","jmdict","君"
1254180,"決める","きめる","to decide","waller",
1254180,,"きめる","to decide","jmdict","決める"
1591430,"気持ち","きもち","feeling,mood","waller",
1591430,"気持","きもち","feeling,mood","jmdict","気持ち"
1423240,"着物","きもの","kimono","waller",
1226630,"客","きゃく","guest,customer","waller",
1226630,"客","かく","guest,customer","jmdict","きゃく"
1228560,"急","きゅう","urgent, steep","waller",
1228690,"急行","きゅうこう","speedy, express","waller",
1236950,"教育","きょういく","education","waller",
1237030,"教会","きょうかい","church","waller",
1234140,,"きょうそう","competition","waller",
1238410,,"きょうみ","an interest","waller",
1242350,"近所","きんじょ","neighbourhood","waller",
1592500,"具合","ぐあい","condition,health","waller",
1592500,"具合","ぐわい","condition,health","jmdict","ぐあい"
1592500,"工合","ぐあい","condition,health","jmdict","具合"
1592500,"工合","ぐわい","condition,health","jmdict","具合"
1592500,"具合い","ぐわい","condition,health","jmdict","具合"
1592500,"工合い","ぐわい","condition,health","jmdict","具合"
1245470,"空気","くうき","air,atmosphere","waller",
1245570,"空港","くうこう","airport","waller",
1401910,"草","くさ","grass","waller",
1401910,,"くさ","grass","jmdict","草"
1184280,,"くださる","(respectful) to give","waller",
1184280,"下さる","くださる","(respectful) to give","jmdict","くださる"
1592270,"首","くび","neck","waller",
1592270,,"くび","neck","jmdict","首"
1592270,,"クビ","neck","jmdict","首"
1173100,,"くも","cloud","waller",
1483540,,"くらべる","to compare","waller",
1483540,,"くらべる","to compare","jmdict","比べる"
1269130,,"くれる","to give","waller",
1269130,,"くれる","to give","jmdict","呉れる"
1514960,"暮れる","くれる","to get dark,to come to an end","waller",
1514960,,"くれる","to get dark,to come to an end","jmdict","暮れる"
1514960,"暗れる","くれる","to get dark,to come to an end","jmdict","暮れる"
1247260,"君","くん","suffix for familiar young male","waller",
1533820,,"け","hair or fur","waller",
1252090,"計画","けいかく","to plan","waller",
1251270,"経験","けいけん","to experience","waller",
1251320,"経済","けいざい","finance,economy","waller",
1252390,"警察","けいさつ","police","waller",
1047860,,"ケーキ","cake","waller",
1200220,,"けが","to injure","waller",
1200220,,"ケガ","to injure","jmdict","怪我"
1250870,"景色","けしき","scene,landscape","waller",
1250870,"景色","けいしょく","scene,landscape","jmdict","けしき"
1350080,"消しゴム","けしゴム","eraser","waller",
1350080,"消ゴム","けしゴム","eraser","jmdict","消しゴム"
1185290,"下宿","げしゅく","lodging","waller",
1254130,"決して","けっして","never","waller",
1254130,"決して","けして","never","jmdict","けっして"
2853889,,"けれど","however","waller",
1004200,,"けど","however","jmdict","けれども・けれど"
1004200,,"けども","however","jmdict","けれども・けれど"
2853889,,"けれども","however","waller",
1261190,"原因","げんいん","cause,source","waller",
1261190,"原因","げいいん","cause,source","jmdict","げんいん"
1257040,,"けんか","to quarrel","waller",
1257040,,"けんか","to quarrel","jmdict","喧嘩"
1257040,,"ケンカ","to quarrel","jmdict","喧嘩"
1258520,"研究","けんきゅう","research","waller",
1258570,"研究室","けんきゅうしつ","study room,laboratory","waller",
1260000,"見物","けんぶつ","sightseeing","waller",
1307770,"子","こ","child","waller",
1307770,,"こ","child","jmdict","子"
1004310,,"こう","this way","waller",
1004310,,"こう","this way","jmdict","斯う"
1282490,,"こうがい","outskirts","waller",
1282260,,"こうぎ","lecture","waller",
1278040,"工業","こうぎょう","the manufacturing industry","waller",
1283500,"高校","こうこう","high school","waller",
1283510,"高校生","こうこうせい","high school student","waller",
1578700,"工場","こうじょう","factory","waller",
1578700,"工場","こうば","factory","jmdict","こうじょう"
1279590,"校長","こうちょう","headmaster","waller",
1272280,"交通","こうつう","traffic,transportation","waller",
1282340,,"こうどう","auditorium","waller",
1283860,"高等学校","こうとうがっこう","high school","waller",
1274820,"公務員","こうむいん","government worker","waller",
1286400,"国際","こくさい","international","waller",
1360480,"心","こころ","core,heart","waller",
1270390,"御主人","ごしゅじん","(honorable) your husband","waller",
1270390,"ご主人","ごしゅじん","(honorable) your husband","jmdict","御主人"
1267180,,"こしょう","to break-down","waller",
1593570,"ご存じ","ごぞんじ","knowing,acquaintance","waller",
1593570,"ご存知","ごぞんじ","knowing,acquaintance","jmdict","ご存じ"
1593570,"御存じ","ごぞんじ","knowing,acquaintance","jmdict","ご存じ"
1593570,"御存知","ごぞんじ","knowing,acquaintance","jmdict","ご存じ"
1449530,"答","こたえ","response","waller",
1449530,"答え","こたえ","response","jmdict","答"
1449530,,"こたえ","response","jmdict","答"
1449530,"報え","こたえ","response","jmdict","答"
1593590,,"ごちそう","a feast","waller",
1593590,,"ごちそう","a feast","jmdict","ごちそう"
1313580,,"こと","thing,matter","waller",
1348530,"小鳥","ことり","small bird","waller",
1004690,,"このあいだ","the other day,recently","waller",
